Rk,Player,Season,Age,Team,G,GS,AS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos
73,Harrison Barnes,2015-16,23,GSW,24,23,0,743,82,213,56,137,26,76,26,34,27,85,112,30,17,4,18,46,216,0.385,0.409,0.342,0.765,0.474,0.446,F
74,Andrew Bogut,2015-16,31,GSW,22,22,0,365,48,77,48,75,0,2,5,14,47,78,125,30,14,35,19,72,101,0.623,0.64,0,0.357,0.607,0.623,C
75,Ian Clark,2015-16,24,GSW,16,0,0,154,26,53,20,35,6,18,8,10,2,15,17,16,8,0,9,18,66,0.491,0.571,0.333,0.8,0.575,0.547,G
76,Stephen Curry,2015-16,27,GSW,18,17,1,614,148,338,68,140,80,198,76,83,14,85,99,93,26,5,75,39,452,0.438,0.486,0.404,0.916,0.603,0.556,G
77,Festus Ezeli,2015-16,26,GSW,23,1,0,203,37,69,37,69,0,0,19,44,23,38,61,8,1,7,14,34,93,0.536,0.536,,0.432,0.526,0.536,C
78,Draymond Green,2015-16,25,GSW,23,23,1,879,119,276,81,172,38,104,79,107,38,190,228,138,37,41,56,81,355,0.431,0.471,0.365,0.738,0.549,0.5,F
79,Andre Iguodala,2015-16,32,GSW,24,3,0,767,78,164,53,99,25,65,32,57,35,70,105,90,29,10,23,37,213,0.476,0.535,0.385,0.561,0.563,0.552,F-G
80,Shaun Livingston,2015-16,30,GSW,24,7,0,514,82,168,82,167,0,1,32,37,13,63,76,80,12,5,29,48,196,0.488,0.491,0,0.865,0.532,0.488,G
81,James Michael McAdoo,2015-16,23,GSW,8,0,0,38,2,4,2,4,0,0,1,4,0,8,8,2,3,2,1,6,5,0.5,0.5,,0.25,0.434,0.5,F
82,Brandon Rush,2015-16,30,GSW,14,0,0,110,9,20,5,8,4,12,1,2,0,23,23,3,2,2,2,9,23,0.45,0.625,0.333,0.5,0.551,0.55,G-F
83,Marreese Speights,2015-16,28,GSW,24,0,0,201,46,118,28,75,18,43,24,31,15,32,47,11,3,8,20,43,134,0.39,0.373,0.419,0.774,0.509,0.466,C-F
84,Klay Thompson,2015-16,25,GSW,24,24,1,849,201,453,103,221,98,232,82,96,15,73,88,54,26,9,47,53,582,0.444,0.466,0.422,0.854,0.588,0.552,G-F
85,Anderson Varejão,2015-16,33,GSW,17,0,0,93,5,14,5,14,0,0,10,19,12,9,21,13,2,2,2,17,20,0.357,0.357,,0.526,0.447,0.357,F-C
86,Leandro Barbosa,2014-15,32,GSW,21,0,0,229,39,88,31,65,8,23,18,22,8,19,27,18,6,1,12,24,104,0.443,0.477,0.348,0.818,0.532,0.489,G
87,Harrison Barnes,2014-15,22,GSW,21,21,0,681,88,200,66,138,22,62,25,34,45,65,110,32,17,11,22,45,223,0.44,0.478,0.355,0.735,0.519,0.495,F
88,Andrew Bogut,2014-15,30,GSW,19,18,0,440,42,75,42,74,0,1,5,13,41,112,153,36,11,34,26,69,89,0.56,0.568,0,0.385,0.551,0.56,C
89,Stephen Curry,2014-15,26,GSW,21,21,1,826,200,439,102,207,98,232,96,115,20,85,105,134,39,3,82,47,594,0.456,0.493,0.422,0.835,0.607,0.567,G
90,Festus Ezeli,2014-15,25,GSW,20,0,0,183,27,50,27,50,0,0,16,29,24,38,62,6,1,10,12,25,70,0.54,0.54,,0.552,0.558,0.54,C
91,Draymond Green,2014-15,24,GSW,21,21,0,784,100,240,76,149,24,91,64,87,46,166,212,109,38,25,58,89,288,0.417,0.51,0.264,0.736,0.517,0.467,F
92,Justin Holiday,2014-15,25,GSW,5,0,0,11,1,2,0,1,1,1,0,0,0,1,1,1,0,0,2,1,3,0.5,0,1,,0.75,0.75,F
93,Andre Iguodala,2014-15,31,GSW,21,3,0,635,81,171,52,89,29,82,27,65,16,78,94,75,25,7,14,42,218,0.474,0.584,0.354,0.415,0.546,0.558,F-G
94,David Lee,2014-15,31,GSW,13,0,0,107,16,40,16,40,0,0,8,15,11,23,34,8,3,2,2,17,40,0.4,0.4,,0.533,0.429,0.4,F-C
95,Shaun Livingston,2014-15,29,GSW,21,0,0,375,42,79,42,78,0,1,21,25,13,38,51,38,8,5,21,32,105,0.532,0.538,0,0.84,0.583,0.532,G
96,James Michael McAdoo,2014-15,22,GSW,5,0,0,10,2,3,2,3,0,0,0,0,1,3,4,0,0,1,1,0,4,0.667,0.667,,,0.667,0.667,F
97,Brandon Rush,2014-15,29,GSW,3,0,0,7,1,6,0,4,1,2,0,0,1,2,3,0,0,0,0,2,3,0.167,0,0.5,,0.25,0.25,G-F
98,Marreese Speights,2014-15,27,GSW,10,0,0,67,14,42,14,42,0,0,9,15,8,13,21,4,4,3,4,14,37,0.333,0.333,,0.6,0.381,0.333,C-F
99,Klay Thompson,2014-15,24,GSW,21,21,1,761,149,334,92,188,57,146,36,45,9,72,81,54,16,19,41,64,391,0.446,0.489,0.39,0.8,0.553,0.531,G-F
100,Hilton Armstrong,2013-14,29,GSW,7,0,0,17,4,8,4,7,0,1,0,2,3,1,4,2,0,2,4,6,8,0.5,0.571,0,0,0.45,0.5,F-C
101,Harrison Barnes,2013-14,21,GSW,7,0,0,156,19,48,11,27,8,21,9,16,7,21,28,8,1,3,5,13,55,0.396,0.407,0.381,0.563,0.5,0.479,F
102,Steve Blake,2013-14,33,GSW,6,0,0,45,4,12,1,2,3,10,0,1,1,3,4,2,0,0,2,2,11,0.333,0.5,0.3,0,0.442,0.458,G
103,Jordan Crawford,2013-14,25,GSW,6,0,0,57,12,33,10,26,2,7,11,14,4,5,9,2,1,0,5,7,37,0.364,0.385,0.286,0.786,0.472,0.394,G
104,Stephen Curry,2013-14,25,GSW,7,7,1,296,51,116,29,59,22,57,37,42,4,21,25,59,12,1,26,18,161,0.44,0.492,0.386,0.881,0.599,0.534,G
105,Draymond Green,2013-14,23,GSW,7,4,0,228,28,60,20,31,8,29,19,24,18,40,58,20,12,12,17,33,83,0.467,0.645,0.276,0.792,0.588,0.533,F
106,Andre Iguodala,2013-14,30,GSW,7,7,0,248,32,62,24,47,8,15,20,33,5,28,33,31,9,2,21,19,92,0.516,0.511,0.533,0.606,0.601,0.581,F-G
107,Ognjen Kuzmić,2013-14,23,GSW,3,0,0,8,0,0,0,0,0,0,0,0,1,3,4,0,0,0,0,2,0,,,,,,,C
108,David Lee,2013-14,30,GSW,7,7,0,217,41,77,41,77,0,0,15,19,24,40,64,18,4,0,17,28,97,0.532,0.532,,0.789,0.568,0.532,F-C
109,Nemanja Nedović,2013-14,22,GSW,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,G
110,Jermaine O'Neal,2013-14,35,GSW,7,3,0,84,18,32,18,32,0,0,6,8,12,12,24,1,1,3,4,12,42,0.563,0.563,,0.75,0.591,0.563,C-F
111,Marreese Speights,2013-14,26,GSW,7,0,0,68,19,36,19,36,0,0,6,12,9,13,22,3,2,4,2,12,44,0.528,0.528,,0.5,0.533,0.528,C-F
112,Klay Thompson,2013-14,23,GSW,7,7,0,257,40,98,24,54,16,44,19,24,4,20,24,25,7,5,15,24,115,0.408,0.444,0.364,0.792,0.53,0.49,G-F
